Restaurant Name,Original food Item
Golden Spoon Frozen Yogurt,Fresh Peach Frozen Yogurt
Roy Rogers Restaurants,Bacon Cheeseburger
DiGiorno,"Pizza, Ultimate Pepperoni"
Mimi's Cafe,Kids Mashed Potatoes
Taco Bell Canada,Bean Soft Taco
Quaker Steak & Lube,"Biker Chicken Salad, Serves 4-6 (1 serving) with Dressing Choice Sweet Vidalia Onion"
Good Times Burgers & Frozen Custard,"Strawberry Cheesecake Spoonbender, Large"
Purebread Deli,Fruit Cup
Planet Wings,Southwestern Ranch Salad with Grilled Chicken
Wild Oats Marketplace,Ground Flax Seed
The Hungry Hobo,Bean with Ham Soup
Jayone,Crunchy Rice Roll
America's Taco Shop,"Chicken Quesadilla, Regular"
Chickpea,Tahini Sauce
Back Yard Burgers,"Sweet Potato Fries, prepared, 6 oz. Regular"
Sail,"Salad Shrimp, Cooked"
Tom and Chee,Romaine & Spring Mix
Tyson,Chicken Breast Fillet
Planet Wings,Butter Garlic Sauce
Wienerschnitzel,"Shake, Reese's Peanut Butter Cup"
Tender Bison,Sirloin Steak
Quaker Steak & Lube,"Biker Chicken Salad, Serves 4-6 (1 serving) with Dressing Choice Chipotle Ranch"
Frullati Cafe & Bakery,"Club Panini Sandwich, Flatbread"
Uncle Ben's,Roasted Chicken Ready Rice
Kitchens Seafood,Coconut Popcorn Shrimp
White Spot Restaurants,"Our Famous Burgers, Classic Plate"
Papa Murphy's,Fiesta Chicken - Medium Slice
Charley's Philly Steaks,Thai Chili Sauce
Mi Familia,Extra Fancy Long Grain Enriched Rice
Desert Gardens,Green Chile Stew
Cafe Zupas,Coke
DiGiorno,"Rising Crust Pizza, Supreme"
Pretzelmaker,"Unsalted Pretzel Bites, Regular"
White Spot Restaurants,Brie & Mushroom Veggie Burger without Sauce
Chickpea,Grilled Steak
Dell ' Alpe,Marzano Tomato
Krispy Kreme,White Iced Doughnut with Chocolate Drizzle
Magic Wok,Sesame Chicken
Wayback Burgers,Bacon
Jamba,"Orange Dream Machine Smoothie, 16 fl. oz."
Cold Stone Creamery,"Oatmeal Cookie Batter Ice Cream, Gotta Have It"
Krispy Kreme,"Skinny Vanilla Latte with Skim Milk, 12 fl oz"
Earls,The Cure Breakfast Sandwich
Wild Oats Marketplace Organic,Tomato Basil Pasta Sauce
Cold Stone Creamery,"Chocolate Cake Batter Ice Cream, Gotta Have It"
Green Beans Coffee,"Protein Burst Smoothie, 32 oz"
Jamba,"Bacon, Roasted Tomato + Spinach Sandwich"
Happy Joe's,"Chicken Taco Original Crust Pizza, 15 inch"
Vocelli Pizza,Cauliflower Crust BBQ Chicken Pizza Slice
Yogli Mogli,Coffee
Tijuana Flats,"Taco Topping, Diced Tomatoes (2 tacos)"
America's Taco Shop,Peruano Beans
Taco Bell Canada,Fresco Steak Soft Taco
Yoshinoya,Clam Chowder Soup
Emeril's,"Creole Creations, Shrimp Etouffee"
Koyo,"Organic Rice Crackers, Asian Fusion Tamari"
Wild Oats Marketplace,Vanilla Almondmilk
The Hungry Hobo,Black Angus Steak & Provolone & Mushrooms Grilled Sandwich
Sea Choice,"Salmon Fillet, Premium Selection Alaskan"
Chick-fil-A,"Chick-N-Strips, 4 Count"
Bruster's Real Ice Cream,"Coconut Sorbet on a Sugar Cone, Large"
Earls,"Vegan Field Greens Salad, No Dressing"
Yoshinoya,Grilled Steak & Teriyaki Chicken Combo - Large
Mauna Loa,"Macadamias, With Sea Salt Dry Roasted"
Taco Bueno,Chicken Taco Rollup Kids Meal Crispy Potato Sticks
Hokan,Sliced Ginger
DiGiorno,"Cheese Stuffed Crust, Supreme Pizza"
Protein House,"Caramel Macchiato Coffee, 16 oz with Flavor Choice Sugar Free Hazelnut Flavor"
Lion's Choice,Lite Italian Dressing
Pepperjax Grill,Spicy Italian Sausage
Uncle Ben's,Rice Pilaf
Whitey's Ice Cream Grocery,Mississipi Mud
Harris Teeter,Grade A Half and Half
Boneheads,Greek Lemon-Herb Chicken Salad
Uncle Ben's,"Ready Rice, RIce Pilaf with Orzo Pasta"
Just Fresh,Ham and Swiss Mini Sandwich
Drew's,Shiitake Ginger Dressing & Quick Marinade
Green Beans Coffee,"Strawberry Smoothie, 16 oz"
Port of Subs,Classic Sub #9 - 12 inch Large
Cold Stone Creamery,"Chocolate Peanut Butter Ice Cream, Like It"
Krispy Kreme,Oreo Cookies and Kreme Doughnut
Charley's Philly Steaks,Garlic Parmesan Seasoning
Cereality,Caramel Syrup
Familia,"Swiss Crunch Muesli Cereal, Swiss Crunch Cereal, with Strawberries and Raspberries"
Mike's Restaurants,Kids Shirley Temple
Harris Teeter,"Iced Coffee, vanilla"
Horizon,Lowfat Milk
Tyson,"Boneless Chicken Bites, Buffalo Style"
Taco Bueno,Taco Platter Beef Crispy Beef Taco
KA-ME,Vietnamese Pho
White Spot Restaurants,"Spinach & Artichoke Quesadilla, Add Side of Cilantro Sour Cream"
Earls,Ahi Tuna Poke Bowl
Lifeway,"Smoothie, Cultured Milk, Cappuccino"
Our Family,Crinkle Cut Carrots
Fresh Gourmet,"Organic Croutons, Seasoned"
Baskin Robbins,"Cappuccino Blast (Made With Soft Serve), Large"
Delmonico's Restaurant,Tomato Basil Pasta Sauce
Purebread Deli,Golden Retriever Sandwich
Earls,"BBQ Chicken Pizza, Gluten Free"
Charley's Philly Steaks,"Mayo, Small Cheesesteak Topping"
The Pickle Barrel,Double Monty Sandwich
Bruster's Real Ice Cream,"Chocolate Pecan Ice Cream on a Cake Cone, Large"
Baton Rouge Steakhouse & Bar,Grilled Calamari
Kitchens Seafood,Crab Cakes
Baskin Robbins,"Brownie Bar Mashup Ice Cream, 4 oz Scoop"
Tasti D-Lite,"Acai Greek Frozen Yogurt - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Blizz Frozen Yogurt,Cookies and Cream Frozen Yogurt
Manny's,Cooked Corned Beef Brisket
Tropical Smoothie Cafe,Soy Protein Powder
Christies,Barnum's Animal Crackers Go Wild
Tender Bison,All Natural New York Strip
Baskin Robbins,"Very Berry Strawberry Milkshake, Large"
The Habit Burger Grill,Barq's Root Beer
Happy Joe's,"Salami Pan Crust Pizza, 6 inch"
Ninety Nine Restaurants,99 XL Gold Fever Boneless Wings
Cold Stone Creamery,"Dark Chocolate Ice Cream, Gotta Have It"
Russo's New York Pizzeria,"Rocco's Pizza 16 inch, Slice"
Protein House,BBQ Bowl with Whole Wheat Pasta
Bruster's Real Ice Cream,"Cake Batter Ice Cream in a Dish, Large"
241 Pizza,"Hawaiian Pizza, Medium Slice"
KA-ME,Stir Fry Sauce
Dell' Alpe,Hot & Spicy Arrabbiata Sauce
Krispy Kreme,"Mocha Latte with 2% Milk, 20 fl oz"
Norman's,"Greek Nonfat Yogurt, Black Cherry"
YoCream,Strawberry Shortcake
High Liner,"Cod, Southwest Chipotle"
241 Pizza,"BBQ Chicken Pizza, Small Slice"
Cook's,Boneless Ham Steak
DiGiorno,"Aloha Bacon Pizza, Stuffed Crust"
Vocelli Pizza,Bone-In Wings - Garlic Romano
Weight Watchers,"Smart Ones, Three Cheese Ziti Marinara"
The Habit Burger Grill,Ancho BBQ Sauce
A&W (Canada),"Diet A&W Root Beer, 12 oz"
American Flatbread Grocery,"Pizza, Sun-Dried Tomatoes and Mushrooms"
Perkins Restaurant And Bakery,"Build Your Own Omelet, Fresh Spinach"
Tim Horton's,"Cappuccino, Large"
Buddy's Bar-b-q,Potato Salad
The Perfect Pita Grocery,"Pita Pockets, Wheat"
Pampa,"Red Cabbage with Apple, Sweet & Sour"
Roy Rogers Restaurants,"Chicken, 2 Piece & Biscuit"
Blimpie,"Fruit Tray, Large (without yogurt)"
Burrito Boyz,Chipotle Salsa
Harris Teeter,Chopped Onions
Horizon,Chocolate Lowfat Milk
Boneheads,Greek Dressing
Portillo's,"Tuscan Chicken And Bacon Salad, No Dressing"
The Perfect Pita,Hummus Roasted Garlic
Yoshinoya,Mountain Dew
Yoshinoya,Teriyaki Chicken & Vegetables
Planet Wings,Boneless Wings
Tim Horton's,Chocolate Caramel Donut
Purebread Deli,Balsamic Vinaigrette
Capri Sun,Citrus Rush Flavored Water Beverage
Earls,Yam Fries And Garlic Aioli
Weight Watchers,Strawberry Swirl Greek Frozen Yogurt
Baton Rouge Steakhouse & Bar,Baton Rouge Chicken Tenders
Wasa,Sourdough Rye
Ninety Nine Restaurants,99 Honey Mustard Dressing Add On
Happy Joe's,"Mushrooms Pan Crust Pizza, 15 inch"
Del Monte,"Red Grapefruit, Pamplemousse Rouge"
Del Monte,Mandarin Oranges
Perkins Restaurant And Bakery,"White Balsamic Dressing, 2 fl oz"
Magic Wok,Chicken Rice Bowl
Quitos,Salsa Picante
Vocelli Pizza,Medium Deluxe Pizza Slice
Protein House,Boss Bowl with White Rice
Ameci Pizza & Pasta,Sausage And Green Pepper Submarine
Planet Smoothie,"Twig & Berries Smoothie, 22 oz"
Earls,Coleslaw With Grainy Mustard
Whitey's Ice Cream Grocery,"Ice Cream, French Vanilla"
YoCream,Yellow Cake Batter
Natural Sea,Solid White Albacore Tuna
Good Times Burgers & Frozen Custard,Breakfast Burrito with Chorizo
Good Times Burgers & Frozen Custard,Fried Pickles
Wedderspoon,"Unfiltered Apple Cider Vinegar Drink with the Mother, Blackcurrant"
Planet Smoothie,"Werewolf Smoothie, 16 oz"
Frullati Cafe & Bakery,"Tuscany Turkey Panini Sandwich, Focaccia"
Furr's Family Dining,Italian Cucumber Salad
Mi Familia,"Flour Tortillas, Butter Flavored"
A&W (Canada),Sweet Potato Fries
Tim Horton's,"Apple Cider, Small"
Boneheads,Med Boneless Breast Chicken
The Pickle Barrel,Crispy Calamari
Hoss's Family Steak And Sea House,Italian Chicken Rice Soup
Cracker Barrel,"Sharp Cheddar, Macaroni & Cheese Dinner"
Buddy's Bar-b-q,Green Beans
Rushing Waters,Smoked Salmon Spread
Tasti D-Lite,"Peanut Butter Cup - Chocolate Soft Serve, 10 oz (Custom Blend)"
Dell' Alpe,"Polenta, Instant"
Tom's,Mustard Sauce
Bimbo,Hot Dog Buns
Sobey's,Spelt & Oat Loaf
Sea Choice,Pacific Cod
Jamba,Blue Spirulina
Tim Horton's,Fruit Explosion Muffin
Pinkberry,"Coconut Milk, Chocolate, Small"
American Flatbread Grocery,"Thin & Crispy Pizza, Tomato Sauce & Three Cheese"
Tai Pei,Shrimp Fried Rice
Wienerschnitzel,Corn Dog
Cold Stone Creamery,Rainbow Sprinkles
241 Pizza,"Veggie Plant Based Pizza, Small Slice"
Sea Pak Shrimp Company,"Crab Cakes, Maryland Style"
Bimbo,"Bread, Toasted Wheat"
Kitchens Seafood,"Shrimp, Butterfly, Breaded"
DiGiorno,Pizzeria! Primo Pepperoni Pizza
Nick-N-Willy's Pizza,Five Cheese Calzone Olive Oil
Christies,Low Fat Creamy Balsamic Dressing
Bimbo,Vanilla Creme Sandwich Cookies
Tubby's,Ham
Happy Joe's,"Salami Original Crust Pizza, 9 inch"
Tom and Chee,Roasted Turkey
Green Beans Coffee,"Mocha Frappe, 16 oz"
A&W (Canada),Breakfast Wrap
East Side Mario's,"Red And Green Julienne Peppers, Regular Pizza Topping"
Perkins Restaurant And Bakery,"Build Your Own Omelet, Large Fresh Eggs"
Roti,Red Wine Vinaigrette
Blimpie,"Mug Root Beer made with Real Sugar, 12 oz"
Tyson,Sausage Patties
Sadaf,Tabouli Mix
DiGiorno,"Pizza, Cheese Stuffed Crust, Five Cheese"
Port of Subs,Classic Sub #11 - 8 inch Medium
Firehouse Subs,Smokehouse Beef & Cheddar Brisket - Large
Ameci Pizza & Pasta,Classic Dinner Salad
Loney's,"Gravy Mix, Roast Beef"
Purebread Deli,Cheddar Cheese
Earls,"New York Striploin, 10 Oz"
Silver Mine Subs,Ranch Dressing for Medium Sub
Russo's New York Pizzeria,"Mediterranean Salad, Small"
Dell' Alpe,Italian Peeled Tomatoes
Lifeway,"Kefir Cultured Milk Smoothie, Probiotic, Coconut-Chia"
World of Beer,House Salad
Curves,"Protein Drink, Chocolate Shake"
Coffee Time,Light Cream Cheese
Taco Bueno,"Churros, 5-Pack"
Our Family,Milk Chocolate Chips
Drews,"Organic Salsa, Chipotle Lime, Medium"
Charley's Philly Steaks,Buffalo Boneless Chicken
Protein House,Thai Monster Bowl with Whole Wheat Pasta
Concord Foods,"Salsa Seasoning Mix, Mild"
Hoss's Family Steak And Sea House,Loaded Potato Soup
Uncle Ben's,Long Grain & Wild Rice
Sadaf,Bulghur #2 Medium
Fresh Gourmet,Dried Cranberries
Christie's,Strawberry Cranberry Fruit Krisps
Moxie's Classic Grill,Med-bread
Koyo,"Ramen, Seaweed"
Rachael Ray,"Instant Oatmeal, Oat-Tastically Good Berry Cherry"
The Hungry Hobo,"#30 Chili, Chopped Cheddar and Onions"
Henry & Lisa's,Salmon Fillets
Planet Smoothie,"Mr Mongo Strawberry Smoothie, 22 oz"
Sadaf,"Basmati Rice Mix, Sweet Delight"
Lion's Choice,"Kid's Roast Beef Sandwich, No Butter or Seasoning"
Planet Smoothie,"Mr Mongo Strawberry Smoothie, 32 oz"
Blimpie,"Diet Rite Cola, 21 oz"
Carmela,"Sausage, Hot Chicken and Bouillon"
Mike's Restaurants,Kids Young Traditionalist Feast with Sausages
Norman's,"Greek Pro plus with 10x Live Cultures, Superfruit"
Cold Stone Creamery,"Cheesecake Ice Cream, Gotta Have It"
Duck Donuts,Cappuccino
Pretzelmaker,Honey Mustard
Tabatchnick,Black Bean Soup
Koyo,Lemongrass Ginger Ramen Organic Noodles
Happy Joe's,"Meatworks Original Crust Pizza, 15 inch"
Pardoe's,Old Fashioned Blistered Peanuts
241 Pizza,"BBQ Chicken Pizza, Large Slice"
The Hungry Hobo,Vanilla Pudding
Pinkberry,"Orange Peach Mango Yogurt, Large"
Montini,Grated Parmesan Cheese
Lit Pizza,Homestyle Chocolate Chunk Cookie
Vocelli Pizza,Bone-In Wings - Hot Vesuvius Buffalo
Yoshinoya,Grilled Tilapia with Rice & Coleslaw Topped with Teriyaki Sauce
Northern Chef,Bay Scallops
YoCream,Peppermint Stick
Shaner's,"Raw Stuffed Chicken Breast, Stuffed with Broccoli & Swiss-American Cheese"
Port of Subs,Classic Sub #5 - 8 inch Medium
Tropical Smoothie Cafe,Caribbean Jerk Chicken Toasted Wrap
Jack Astor's Bar & Grill,"Jack's Chicken Wings, 1 lb."
Our Family,"Yogurt, Nonfat, Light, Raspberry"
Planet Smoothie,"2 Piece Bikini Cocoa Smoothie, 32 oz"
Tabatchnick,Old Fashioned Potato Soup
Purebread Deli,Caesar Salad
Martel,Sardines in Tomato Sauce
Roti,"Pomegranate Lemonade + Black Tea, 16 oz"
Mimi's Cafe,Iced Tea
Taco Bueno,Chicken Big Freak'N Quesadilla
Smoothie King,"Trail Mix, Greek Yogurt"
Tom and Chee,Chicken Bacon Ranch
Emeril's,"Creole Creations, Seafood Gumbo"
Charley's Philly Steaks,Plain Chicken Tender
Wild Oats Organic,Baby Spinach
Mimi's Cafe,Kids Noodles with Marinara with Caesar Salad
Tyson,Homestyle Chicken Thigh Fillets
Shopsy's,Beef Frankfurters
Firehouse Subs,"Chicken & Dumpling Soup, 10 oz"
Jayone,"Rice Cake, Oval Shape"
Nalley Fresh,Caesar Salad
Furr's Family Dining,Tomato Bisque
Moxie's Classic Grill,Baby Spinach Salad with Herbed Chicken
Cafe Zupas,"Salad Toppings, Avocado"
Magic Wok,"Fried Rice, Trip"
Dukes,"Smoked Shorty Sausages, Original Recipe"
Perkins Restaurant And Bakery,"Brioche French Toast, 2 Slices"
Our Family,"Dressing, Light, Ranch"
Pretzelmaker,"Coke, Small"
Betty Crocker,"Walnuts, Halves & Pieces"
Wild Oats Marketplace Organic,Pearled Farro
Northern Chef,Wild Caught Alaska Cod
Coffee Time,Apple Fritter Donut
Rachael Ray,"Instant Oatmeal, Oat-Tastically Good Apple Cinnamon"
Moxie's Classic Grill,Plum Sauce (dipping sauce)
Wienerschnitzel,"Mountain Dew, 20 oz (without ice)"
Kaizen,Whey Isolate Protein Drink Mix
Boneheads,Medium Chicken Breast Sandwich
Golden Spoon Frozen Yogurt,Mai Tai Sorbet
Buddy's Bar-b-q,Lamuriel's Lemon Ice Box Pie
Roy Rogers Restaurants,Cole Slaw
Tabatchnick,Split Pea Soup Singles
Natural Sea,"Fish Nuggets, Wild Alaska Pollock"
Harris Teeter,Mixed Nuts
Tasti D-Lite,"Creamy Cocoa - Chocolate Soft Serve, 10 oz (Gallon Recipe)"
Protein House,"Cookies and Cream Iced Coffee, 24 oz"
Roy Rogers Restaurants,Cinnamon Biscuit Roll
The Hungry Hobo,Wisconsin Cheese Soup
Port of Subs,Top Deck Meat & Cheese Champion - 15-20 Guests *
Rachael Ray,"Instant Hot Cereal, Oat-Tastically Good Cinnamon"
Bimbo,Mini Doraditas
Christie's,"Wheat Thins, Chickpea Herb & Garlic"
Pama,"Sauerkraut, Beetroot & Ginger"
Rice King,"Sweet Rice, Short Grain"
Cafe Zupas,"Sandwiches, Crab Avocado Melt, White"
Taco Bueno,#5 MexiDips & Chips Combo with High Cal Drink
The Habit Burger Grill,Minute Maid Light Lemonade
World of Beer,IPA Salmon
Tijuana Flats,"Taco Cheese, Substitute Powerlite (2 tacos)"
Mimi's Cafe,Steak and Eggs with French Fries
The Hungry Hobo,Chocolate Chip Cookie
Sail,"Cooked Shrimp, Peeled and Deveined, Tail Off"
Firehouse Subs,Turkey Bacon Ranch - Small
Blizz Frozen Yogurt,Peach Frozen Yogurt
Wild Oats Marketplace,Cheesy Tuna Skillet Dinner
Portillo's,"Mostaccioli, Dinner, With Meat Sauce"
Planet Wings,Sweet & Sour Dipping Sauce
Jayone,Roasted Black Rice
Bruster's Real Ice Cream,"Nutty Coconut Ice Cream on a Waffle Cone, Regular"
Perkins Restaurant And Bakery,"Dinner Sides, Sauteed Spinach"
Ninety Nine Restaurants,99 Honey BBQ Sauce
The Hungry Hobo,"Chef Salad, Ham"
Cereality,Apple Pie Filling
Golden Spoon Frozen Yogurt,Peanut Butter Frozen Yogurt
Kirkwood,Apple Chicken Sausage
Tom and Chee,Honey Mustard
Whitey's Ice Cream Grocery,"Ice Cream, Cookies 'N Cream Shake"
Shaner's,Chicken Breast Patties
Angy's,"Tortellini, with Cheese"
Protein House,"Snickers Iced Coffee, 16 oz with Flavor Choice Hazelnut Flavor"
Drew's,Lemon Goddess Dressing & Quick Noodle Sauce
Buddy's Bar-b-q,"Vanilla Milk Shake, Large"
Protein House,Ninja Burger with Grilled Portobello Mushrooms
Tijuana Flats,"Taco Topping, Diced Onions (2 tacos)"
Duck Donuts,"Cappuccino, Large"
Ninety Nine Restaurants,99 Boneless Wings Touch Down Combo
The Pickle Barrel,Mendy Sharf'S Veggie Soya Burger
Boneheads,Asian Slaw Wings
Thundercloud Subs,"BLT Sub, Large"
Mike's Restaurants,"Apple Juice, Large"
Tasti D-Lite,"Coffee 'n Cream - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
A&W (Canada),Sausage & Egger on Sesame Seed Bun
Suzy's,Chocolate Enrobed Cheesecakes
Drews,Rosemary Balsamic Dressing
Magic Wok,Steamed Brown Rice (8 oz)
Drew's,Mango Habanero Salsa
Bruster's Real Ice Cream,"Coffee No Sugar Added Ice Cream in a Dish, Small"
White Mountain Farm,Russet Potatoes
DiGiorno,"Pizza, Chicken Parmesan"
Baton Rouge Steakhouse & Bar,French Fries
Uncle Ben's,"Ready Rice Pouch, Original"
Back Yard Burgers,"Wild Cherry Pepsi, Kids, 12 oz."
A&W (Canada),"Bone-In Chubby Chicken, Wing"
Quaker Steak & Lube,Ribs (1 serving) with Wing Sauce Choice Original BBQ
Moxie's Classic Grill,Honey Garlic Top Sirloin Steak
Chick-fil-A,"Grilled Breakfast Filet, Protein Only"
Great American Cookies Grocery,Cranberry Nut Mix
Taco Bueno,Chicken Taco Rollup Kids Meal with High Cal Drink & Crispy Potato Sticks
Earls,Cajun Oven Roasted Salmon
Cafe Zupas,"Salad Toppings, Black Olives"
Hokan,Fish Sauce
Earls,Prosciutto And Arugula Pizza
Coffee Culture,Gourmet Double Peanut Butter Cookie
Crazy Bowls & Wraps,Kids Chicken Teriyaki Wrap
Veggie Patch,Garden Broccoli Bites
A&W (Canada),Poutine
White Spot Restaurants,The Spot's Calamari
Mimi's Cafe,Kids Grilled Chicken with House Salad
Garden Fresh Gourmet,"Guacamole, Milk"
The Hungry Hobo,Grilled Chicken Salad
DiGiorno,"Pizza, Ultimate Supreme"
Wild Oats Marketplace Organic,"Dressing, Honey Mustard"
Whitey's Ice Cream Grocery,"Ice Cream, Chocolate Chip Cookie Dough"
Wild Oats Marketplace Organic,Red Quinoa
Lifeway,"Kefir Cultured Milk Smoothie, Strawberry-Banana"
241 Pizza,"Ham & Pesto Plant Based Pizza, Medium Slice"
Green Beans Coffee,"Brewed Iced Tea, 16 oz"
Yogli Mogli,Blueberry Burst
Pinkberry,"Meyer Lemon Yogurt, Large"
Buddy's Bar-b-q,Hushpuppies
Pretzelmaker,Mocha Mania
Yogli Mogli,Chocolate
Pinkberry,Whipped Cream Topping
Mauna Loa,"Dry Roasted Macadamias, with Sea Salt"
Moxie's Classic Grill,Calamari
Bimbo,Bimbolete Creme-Filled Sweet Roll
Wayback Burgers,Cookies N' Cream Milkshake
East Side Mario's,Kids Build Your Own - Pasta Mother Tomato
Nick-N-Willy's Pizza,Hot Buffalo Chicken Wings
Pampa,Light Italian Dressing
Our Family,"Texas Garlic Toast, Hearth Baked"
Port of Subs,Classic Sub #2 - Salad
Mimi's Cafe,Kids Kraft Mac and Cheese
Planet Smoothie,"Billy Bob Banana Smoothie, 22 oz"
Look's,"Jacob's Cattle Beans, New England Style"
Taco Bell Canada,Mtn Dew Baja Blast (30 fl oz)
A&W (Canada),Chicken Strips Dipping Sauce
Roy Rogers Restaurants,"Roast Beef Sliders, 6 Piece"
Coffee Time,Bagel with Processed Cheese Slice
Coleen's,"Bread Sticks, Gruyere & Garlic"
Horizon,"Super Squeeze, Milk, Mixed Berry Burst"
World of Beer,Huevos Rancheros with Tater Tots
Chickpea,Grilled Chicken Breast
Benny's,"Meat Sticks, Smokin' Chipotle"
Jamba,"Razzmatazz Smoothie, 22 fl. oz."
Moxie's Classic Grill,Herb Chicken Alfredo
Tubby's,Stuffed Pepper Soup with Beef
Sea Choice,Alaska Pollo
Coffee Time,Lemon Wildberry Biscotti
Jack Astor's Bar & Grill,Mexican Chicken Bowl
Vocelli Pizza,Chicken Sub on Wheat
Wayback Burgers,Chipotle Mayo
Tyson,"Diced Chicken Breast, Oven Roasted"
Mauna Loa,"Macadamia Nuts, Covered in Milk Chocolate"
Merzi,Create your own Naan Roll
Betty Crocker,Mashed Potatoes
Just Fresh,Small Caesar Salad
Duchess Shoppe,32 oz Mug Root Beer
Happy Joe's,"Green Pepper Pan Crust Pizza, 12 inch"
A&W (Canada),Peach Turnover
Drew's,"Dressing & Quick Marinade, Poppy Seed"
Tabatchnick,"Broth, Organic, Reduced Sodium, Classic Wholesome Chicken"
America's Taco Shop,"Carne Asada Quesadilla, Large"
Natural Sea,Chunk Light Tuna
IFC,Atlantic Salmon
Baskin Robbins,"Pistachio Almond Ice Cream, 2.5 oz Scoop"
GT's,"Kombucha, Lemonade Citronade"
Wild Oats Marketplace,"Chili Beans, in Sauce"
Firehouse Subs,Pickle Spear
A&W (Canada),Beyond Meat Burger
Crazy Bowls & Wraps,Carrots with Olive Oil & Herb
Yoshinoya,Grilled Tilapia with Rice & Coleslaw
Kaizen Naturals,All In One Complete Meal
YoCream,Rootbeer Float
Earls,Spicy Tuna Roll
Wild Oats Organic,Rosemary & Olive Oil Brown Rice & Quinoa
Coffee Time,Boston Cream Donut
Tasti D-Lite,"Bananas Foster - Vanilla Soft Serve, 1 oz (Gallon Recipe)"
Tropical Smoothie Cafe,Kale & Apple Slaw
High Liner,Marinated Portions Marinees
Furr's Family Dining,Seafood Pasta Salad
Lion's Choice,"King Beef Sandwich, No Seasoning"
The Pickle Barrel,Sweet Potato Fries
Pretzelmaker,Pretzel Mini Pretzel Dog
Furr's Family Dining,Fudge Brownie Supreme
Western Familya,"Swiss Milk Chocolate, Caramel & Sea Salt"
